,Team,Efficiency: (Wins/avg_Time),base_total,hp,speed,attack,defense,sp_attack,sp_defense,Wins,Avg Time Win,SD Time Win,Avg Time Loss,SD Time Loss,Losses to Lorelei,Losses to Bruno,Losses to Agatha,Losses to Lance,Nemesis,Nemesis Losses
22,"['lapras', 'flareon', 'gengar', 'sandslash', 'voltorb', 'ponyta']",1.4057507987220448,285.0,78.0,42.0,42.0,40.0,41.0,42.0,44,31.3,4.87,24.19,6.74,4,6,36,10,gengar,34
190,"['rhydon', 'aerodactyl', 'metapod', 'gengar', 'chansey', 'hitmonlee']",1.2840588787973692,298.0,78.0,46.0,45.0,44.0,41.0,44.0,41,31.93,5.01,22.6,9.13,16,2,33,8,gengar,37
314,"['wartortle', 'meowth', 'hitmonlee', 'gengar', 'wartortle', 'wigglytuff']",1.246223564954683,289.0,78.0,43.0,42.0,43.0,41.0,42.0,33,26.48,3.28,18.33,5.96,26,3,28,10,gengar,31
922,"['fearow', 'gengar', 'slowbro', 'lickitung', 'tentacruel', 'drowzee']",1.214574898785425,285.0,75.0,42.0,45.0,42.0,39.0,42.0,36,29.64,5.42,22.27,6.98,10,2,43,9,gengar,24
853,"['zapdos', 'golduck', 'dratini', 'nidoqueen', 'haunter', 'eevee']",1.1914217633042097,288.0,77.0,42.0,44.0,41.0,42.0,42.0,30,25.18,2.49,17.01,5.25,10,5,52,3,gengar,51
165,"['ninetales', 'raichu', 'gengar', 'squirtle', 'spearow', 'clefairy']",1.1293634496919918,277.0,75.0,42.0,41.0,40.0,40.0,39.0,33,29.22,4.54,18.93,6.61,19,10,32,6,gengar,31
501,"['metapod', 'kakuna', 'psyduck', 'gengar', 'poliwhirl', 'cloyster']",1.1286681715575622,286.0,76.0,44.0,40.0,43.0,42.0,41.0,40,35.44,4.29,22.05,10.05,30,2,19,9,gengar,25
189,"['starmie', 'gengar', 'oddish', 'nidorina', 'meowth', 'hypno']",1.0200612036722203,275.0,74.0,39.0,39.0,42.0,42.0,39.0,30,29.41,5.72,19.86,7.1,29,0,26,15,gengar,22
494,"['snorlax', 'blastoise', 'pidgeot', 'gengar', 'tentacool', 'hitmonchan']",1.012292118582791,287.0,77.0,41.0,43.0,43.0,42.0,41.0,42,41.49,6.59,31.4,7.92,4,3,47,4,gengar,32
599,"['hitmonchan', 'gengar', 'magneton', 'slowpoke', 'poliwag', 'abra']",0.974025974025974,278.0,76.0,39.0,41.0,43.0,40.0,39.0,21,21.56,3.73,14.78,3.86,15,8,52,4,draw,45
752,"['persian', 'lickitung', 'raichu', 'abra', 'haunter', 'gastly']",0.9492732126965292,286.0,77.0,42.0,45.0,40.0,41.0,41.0,32,33.71,5.12,20.13,8.46,30,1,34,3,lapras,25
674,"['eevee', 'gyarados', 'exeggutor', 'haunter', 'omanyte', 'kabuto']",0.8451656524678838,296.0,79.0,44.0,43.0,43.0,46.0,41.0,25,29.58,3.46,20.83,5.67,10,0,62,3,gengar,60
84,"['beedrill', 'haunter', 'jolteon', 'kabutops', 'magneton', 'electrode']",0.7554945054945055,289.0,76.0,44.0,42.0,41.0,44.0,42.0,22,29.12,3.96,19.74,4.48,9,3,64,2,gengar,62
156,"['zapdos', 'zapdos', 'staryu', 'moltres', 'scyther', 'dewgong']",0.7057785619761799,284.0,76.0,42.0,39.0,40.0,43.0,44.0,16,22.67,2.98,18.46,3.72,3,7,74,0,gengar,55
519,"['magneton', 'haunter', 'kabuto', 'mew', 'hitmonlee', 'blastoise']",0.6896551724137931,283.0,76.0,41.0,43.0,40.0,41.0,42.0,20,29.0,3.8,22.24,4.25,2,4,71,3,gengar,61
476,"['graveler', 'beedrill', 'venonat', 'drowzee', 'gengar', 'arcanine']",0.689655172413793,292.0,77.0,42.0,45.0,43.0,44.0,41.0,19,27.55,3.5,15.22,7.56,47,1,28,5,draw,36
580,"['shellder', 'vileplume', 'electabuzz', 'flareon', 'haunter', 'tauros']",0.6860503103560928,282.0,79.0,39.0,41.0,43.0,40.0,40.0,21,30.61,2.86,16.49,6.84,36,5,32,6,gengar,32
568,"['kabutops', 'abra', 'kadabra', 'fearow', 'haunter', 'butterfree']",0.6750241080038573,294.0,78.0,42.0,44.0,42.0,43.0,45.0,21,31.11,2.76,18.62,6.63,28,6,35,10,draw,25
797,"['mew', 'gastly', 'raichu', 'magmar', 'rattata', 'gengar']",0.6645335958651243,281.0,77.0,41.0,42.0,39.0,41.0,41.0,27,40.63,6.69,28.76,7.97,18,0,54,1,gengar2,39
409,"['haunter', 'exeggutor', 'ditto', 'porygon', 'pidgey', 'machamp']",0.6243496357960459,287.0,77.0,40.0,43.0,44.0,41.0,42.0,18,28.83,4.39,18.94,6.72,21,3,46,12,gengar,40
916,"['kakuna', 'pinsir', 'aerodactyl', 'haunter', 'dewgong', 'nidoqueen']",0.6222222222222222,278.0,77.0,40.0,41.0,39.0,40.0,41.0,21,33.75,4.47,23.33,6.96,19,4,55,1,gengar,55
154,"['seadra', 'exeggutor', 'alakazam', 'fearow', 'exeggcute', 'gengar']",0.5818012566907145,288.0,78.0,41.0,41.0,44.0,42.0,42.0,25,42.97,5.86,27.04,9.99,25,0,47,3,gengar2,32
816,"['pinsir', 'nidoran-m', 'haunter', 'mewtwo', 'marowak', 'clefairy']",0.554016620498615,288.0,78.0,42.0,43.0,40.0,42.0,43.0,14,25.27,3.73,16.35,5.83,34,2,45,5,gengar,33
133,"['wigglytuff', 'spearow', 'goldeen', 'gastly', 'zapdos', 'haunter']",0.5312084993359893,298.0,78.0,43.0,45.0,43.0,44.0,45.0,20,37.65,3.76,24.77,8.94,24,1,52,3,gengar,45
353,"['golem', 'primeape', 'fearow', 'abra', 'paras', 'haunter']",0.5043227665706052,277.0,79.0,38.0,40.0,42.0,38.0,40.0,14,27.76,4.43,14.68,7.11,47,0,33,6,lapras,42
284,"['gyarados', 'scyther', 'gastly', 'abra', 'articuno', 'slowbro']",0.4863449307893752,294.0,77.0,44.0,43.0,43.0,42.0,45.0,13,26.73,3.04,19.59,4.57,15,1,71,0,gengar,39
587,"['mewtwo', 'clefable', 'jigglypuff', 'zapdos', 'koffing', 'graveler']",0.4758883248730964,286.0,77.0,41.0,44.0,41.0,40.0,43.0,15,31.52,4.83,21.82,6.81,15,2,66,2,gengar,50
68,"['pidgey', 'clefable', 'haunter', 'slowbro', 'blastoise', 'poliwag']",0.4721435316336166,286.0,78.0,41.0,42.0,41.0,44.0,40.0,20,42.36,6.33,32.29,9.4,20,1,49,10,gengar,40
943,"['snorlax', 'golbat', 'gyarados', 'mewtwo', 'machoke', 'spearow']",0.4398447606727038,285.0,78.0,41.0,42.0,40.0,43.0,41.0,17,38.65,5.11,31.98,8.08,3,5,67,8,gengar,40
653,"['zapdos', 'kingler', 'shellder', 'zapdos', 'farfetchd', 'dragonair']",0.4308487720809995,277.0,76.0,41.0,40.0,39.0,42.0,39.0,10,23.21,3.66,15.6,4.23,14,12,64,0,gengar,51
669,"['charizard', 'haunter', 'vaporeon', 'mankey', 'pinsir', 'ditto']",0.4307488402915838,279.0,76.0,41.0,41.0,41.0,41.0,39.0,13,30.18,3.79,19.0,5.39,25,2,56,4,gengar,30
39,"['flareon', 'growlithe', 'haunter', 'abra', 'vileplume', 'golduck']",0.4014720642355303,277.0,75.0,40.0,41.0,39.0,42.0,40.0,12,29.89,2.5,17.63,7.06,33,6,38,11,lapras,27
324,"['voltorb', 'haunter', 'muk', 'poliwrath', 'vileplume', 'abra']",0.3808864265927978,295.0,77.0,41.0,46.0,42.0,44.0,45.0,11,28.88,4.49,20.39,5.46,12,1,66,10,gengar,38
345,"['scyther', 'victreebel', 'haunter', 'victreebel', 'poliwrath', 'golduck']",0.37243947858473,274.0,73.0,41.0,40.0,40.0,40.0,40.0,12,32.22,1.74,21.7,5.11,9,4,68,7,gengar,60
953,"['venusaur', 'zapdos', 'poliwhirl', 'aerodactyl', 'raticate', 'butterfree']",0.3711952487008166,290.0,81.0,40.0,42.0,43.0,41.0,43.0,10,26.94,3.04,18.14,4.92,14,3,73,0,gengar,34
570,"['zapdos', 'rapidash', 'dratini', 'hitmonchan', 'grimer', 'lapras']",0.3706754530477759,282.0,77.0,40.0,44.0,40.0,41.0,40.0,9,24.28,3.79,17.57,4.83,13,16,61,1,gengar,36
803,"['beedrill', 'haunter', 'kabuto', 'pidgey', 'persian', 'poliwrath']",0.3702332469455757,287.0,76.0,44.0,41.0,40.0,43.0,43.0,10,27.01,2.77,17.76,6.31,30,5,49,6,gengar,46
662,"['blastoise', 'haunter', 'exeggcute', 'ponyta', 'nidorino', 'tentacruel']",0.3591250408096637,291.0,78.0,41.0,45.0,42.0,44.0,41.0,11,30.63,3.69,18.82,5.4,15,8,59,7,gengar,55
767,"['dratini', 'electrode', 'nidorina', 'sandslash', 'omanyte', 'haunter']",0.3500954805856142,289.0,79.0,42.0,41.0,42.0,43.0,42.0,11,31.42,3.77,15.22,6.88,51,0,36,2,lapras,33
589,"['raticate', 'ivysaur', 'geodude', 'poliwhirl', 'muk', 'gengar']",0.3413865546218487,290.0,78.0,42.0,43.0,42.0,43.0,42.0,13,38.08,3.26,24.28,7.9,26,1,57,3,gengar2,37
720,"['dodrio', 'psyduck', 'vileplume', 'weezing', 'seel', 'haunter']",0.3302311618132693,284.0,76.0,43.0,42.0,40.0,43.0,40.0,11,33.31,5.47,19.59,6.8,40,3,43,3,gengar,38
122,"['dugtrio', 'poliwag', 'mewtwo', 'zapdos', 'cubone', 'dratini']",0.320659642693541,283.0,75.0,44.0,40.0,41.0,43.0,40.0,7,21.83,2.06,16.69,5.61,24,11,51,7,gengar,42
780,"['gastly', 'dugtrio', 'goldeen', 'butterfree', 'golbat', 'golem']",0.2952029520295203,278.0,76.0,42.0,39.0,40.0,40.0,41.0,8,27.1,2.73,13.58,5.57,54,2,35,1,lapras,45
929,"['jynx', 'kabutops', 'kingler', 'raichu', 'jynx', 'haunter']",0.2871729419272495,286.0,77.0,41.0,40.0,44.0,42.0,42.0,9,31.34,3.44,20.54,6.49,24,1,65,1,gengar,56
497,"['dewgong', 'kakuna', 'beedrill', 'spearow', 'vulpix', 'gengar']",0.2839047827036471,282.0,77.0,41.0,42.0,40.0,41.0,41.0,13,45.79,6.77,25.86,10.05,49,4,29,5,lapras,31
948,"['psyduck', 'victreebel', 'tangela', 'meowth', 'charmeleon', 'gengar']",0.2705953096812988,284.0,77.0,41.0,43.0,40.0,40.0,43.0,9,33.26,4.14,18.45,7.94,38,2,47,4,gengar2,39
116,"['primeape', 'butterfree', 'poliwhirl', 'farfetchd', 'haunter', 'drowzee']",0.2616088947024199,286.0,81.0,42.0,43.0,40.0,39.0,41.0,8,30.58,1.8,16.61,6.64,48,5,37,2,lapras,34
343,"['gyarados', 'seadra', 'mewtwo', 'electabuzz', 'dugtrio', 'magnemite']",0.2385821404226312,289.0,78.0,40.0,44.0,43.0,41.0,43.0,7,29.34,3.95,18.92,5.28,16,4,62,11,gengar,48
159,"['haunter', 'jigglypuff', 'graveler', 'vileplume', 'moltres', 'starmie']",0.2327385570209464,275.0,77.0,37.0,40.0,43.0,39.0,39.0,6,25.78,4.5,17.17,6.64,37,1,47,9,gengar,41
964,"['dragonair', 'geodude', 'voltorb', 'seadra', 'ivysaur', 'gengar']",0.2307470435535044,281.0,76.0,42.0,42.0,41.0,40.0,40.0,8,34.67,3.44,18.52,7.31,43,5,40,4,lapras,35
893,"['weepinbell', 'ivysaur', 'slowbro', 'venomoth', 'nidoqueen', 'haunter']",0.2107234839616014,280.0,77.0,42.0,42.0,41.0,38.0,40.0,9,42.71,3.75,22.75,8.24,47,0,42,2,lapras,39
683,"['kangaskhan', 'omastar', 'machamp', 'zapdos', 'sandshrew', 'onix']",0.1902587519025875,281.0,76.0,41.0,41.0,40.0,41.0,42.0,5,26.28,3.02,18.02,6.09,27,2,65,1,gengar,49
849,"['seel', 'exeggutor', 'haunter', 'sandshrew', 'drowzee', 'alakazam']",0.1813941435605079,281.0,77.0,41.0,41.0,41.0,42.0,39.0,7,38.59,6.01,19.75,8.88,60,3,24,6,lapras,26
986,"['magnemite', 'seaking', 'onix', 'gyarados', 'gastly', 'lapras']",0.1808318264014466,284.0,77.0,39.0,42.0,44.0,41.0,41.0,6,33.18,3.14,22.87,5.84,20,5,69,0,gengar,27
82,"['graveler', 'primeape', 'arcanine', 'zapdos', 'pinsir', 'zubat']",0.1803426510369702,279.0,75.0,41.0,42.0,39.0,41.0,41.0,4,22.18,1.79,16.47,4.02,10,4,82,0,gengar,40
591,"['haunter', 'ekans', 'fearow', 'venusaur', 'psyduck', 'rattata']",0.1733102253032929,291.0,76.0,44.0,41.0,41.0,46.0,43.0,4,23.08,0.56,12.92,4.99,51,10,31,4,gengar,26
973,"['nidoran-f', 'bulbasaur', 'zapdos', 'lapras', 'magmar', 'voltorb']",0.1678979180658159,284.0,79.0,39.0,43.0,43.0,40.0,40.0,5,29.78,2.75,20.05,5.37,11,8,76,0,gengar,48
908,"['metapod', 'meowth', 'lapras', 'haunter', 'wigglytuff', 'onix']",0.1658767772511848,288.0,77.0,44.0,40.0,41.0,44.0,42.0,7,42.2,2.13,28.66,8.47,18,24,41,10,gengar,41
222,"['pidgeot', 'poliwag', 'dewgong', 'nidorina', 'hitmonchan', 'haunter']",0.1592356687898089,288.0,78.0,41.0,42.0,41.0,43.0,43.0,7,43.96,10.64,29.09,11.86,54,0,35,4,lapras,33
280,"['farfetchd', 'haunter', 'onix', 'nidoqueen', 'raticate', 'tentacool']",0.1588562351072279,283.0,76.0,42.0,43.0,41.0,41.0,40.0,4,25.18,3.37,14.51,6.68,55,4,30,7,gengar,30
392,"['arcanine', 'omastar', 'slowbro', 'weepinbell', 'zapdos', 'charizard']",0.1470588235294117,286.0,78.0,43.0,41.0,41.0,41.0,42.0,6,40.8,5.78,29.13,6.53,10,4,73,7,gengar,57
488,"['mew', 'krabby', 'horsea', 'haunter', 'psyduck', 'paras']",0.1440922190201729,277.0,77.0,39.0,41.0,40.0,40.0,40.0,5,34.7,6.86,20.35,7.66,72,5,16,2,lapras,36
298,"['golem', 'ekans', 'grimer', 'haunter', 'zubat', 'alakazam']",0.1439884809215262,279.0,76.0,41.0,41.0,40.0,41.0,40.0,4,27.78,4.59,11.68,5.53,71,2,21,2,draw,27
652,"['dratini', 'haunter', 'onix', 'charizard', 'farfetchd', 'scyther']",0.1413427561837456,282.0,76.0,42.0,42.0,39.0,42.0,41.0,4,28.3,6.2,13.0,6.11,62,3,24,7,lapras,43
872,"['mewtwo', 'poliwrath', 'blastoise', 'dugtrio', 'abra', 'zubat']",0.1211142511102139,277.0,76.0,40.0,42.0,40.0,40.0,39.0,3,24.77,2.92,17.09,5.02,21,1,64,11,gengar,29
516,"['tentacruel', 'poliwrath', 'electrode', 'sandshrew', 'voltorb', 'mewtwo']",0.1205908953873982,290.0,79.0,41.0,43.0,42.0,43.0,42.0,4,33.17,1.22,21.68,7.12,32,2,60,2,gengar,31
282,"['poliwrath', 'mewtwo', 'venomoth', 'koffing', 'hitmonchan', 'ivysaur']",0.1184366363995262,284.0,76.0,42.0,41.0,41.0,43.0,41.0,3,25.33,3.52,19.96,4.73,15,4,75,3,gengar,47
804,"['primeape', 'goldeen', 'zapdos', 'omastar', 'venomoth', 'staryu']",0.1168679392286716,285.0,76.0,42.0,43.0,43.0,40.0,41.0,3,25.67,3.13,16.21,5.2,24,5,66,2,gengar,46
892,"['blastoise', 'pinsir', 'farfetchd', 'persian', 'golduck', 'zapdos']",0.0922225637872732,290.0,78.0,40.0,43.0,44.0,43.0,42.0,3,32.53,1.78,20.82,4.37,7,2,86,2,gengar,62
717,"['metapod', 'dugtrio', 'rhyhorn', 'zapdos', 'paras', 'cloyster']",0.088235294117647,283.0,76.0,43.0,42.0,40.0,41.0,41.0,3,34.0,3.31,15.56,8.02,56,4,37,0,lapras,48
552,"['ninetales', 'golbat', 'nidoking', 'tentacruel', 'ivysaur', 'sandslash']",0.0850581230507513,287.0,77.0,42.0,42.0,41.0,42.0,43.0,3,35.27,3.96,16.31,8.3,64,1,27,5,lapras,52
178,"['lapras', 'shellder', 'doduo', 'golem', 'poliwrath', 'electabuzz']",0.0849858356940509,284.0,76.0,42.0,42.0,41.0,42.0,41.0,3,35.3,4.71,24.12,6.43,22,6,68,1,gengar,47
259,"['persian', 'abra', 'mewtwo', 'nidoking', 'rhydon', 'jolteon']",0.0849256900212314,282.0,76.0,39.0,44.0,40.0,41.0,42.0,2,23.55,0.21,19.03,5.14,18,2,78,0,haunter,34
369,"['hypno', 'beedrill', 'poliwrath', 'mewtwo', 'kabutops', 'primeape']",0.0845785170566676,290.0,78.0,41.0,43.0,43.0,44.0,41.0,3,35.47,2.94,24.01,6.04,15,3,78,1,gengar,57
642,"['pidgey', 'butterfree', 'lapras', 'dragonite', 'golbat', 'weepinbell']",0.08058017727639,277.0,77.0,37.0,43.0,42.0,38.0,40.0,3,37.23,6.16,21.44,10.1,46,22,21,8,cloyster,18
762,"['haunter', 'mr-mime', 'raichu', 'nidoran-f', 'abra', 'mankey']",0.0782778864970645,289.0,77.0,44.0,42.0,41.0,42.0,43.0,2,25.55,7.14,11.76,4.95,64,14,19,1,lapras,49
141,"['zapdos', 'psyduck', 'nidorino', 'flareon', 'dragonite', 'dugtrio']",0.0769230769230769,281.0,77.0,41.0,41.0,40.0,43.0,39.0,2,26.0,2.12,15.17,5.89,34,15,48,1,lapras,31
504,"['lapras', 'krabby', 'clefairy', 'articuno', 'slowbro', 'seel']",0.0710395453469097,277.0,75.0,40.0,42.0,41.0,39.0,40.0,3,42.23,12.08,31.93,8.94,36,9,48,4,jynx,26
730,"['kadabra', 'ivysaur', 'marowak', 'hitmonchan', 'rhydon', 'zapdos']",0.0704225352112676,282.0,76.0,42.0,39.0,45.0,41.0,39.0,2,28.4,1.84,15.3,7.14,50,1,45,2,lapras,37
107,"['meowth', 'sandslash', 'jynx', 'arcanine', 'nidoking', 'mewtwo']",0.0699300699300699,302.0,80.0,43.0,45.0,45.0,46.0,43.0,2,28.6,0.42,21.23,7.02,24,2,66,6,gengar,34
694,"['growlithe', 'zapdos', 'kabutops', 'electrode', 'dragonair', 'seaking']",0.0671140939597315,279.0,75.0,41.0,43.0,39.0,41.0,40.0,2,29.8,4.53,18.41,3.74,6,4,88,0,gengar,38
732,"['poliwrath', 'doduo', 'venusaur', 'primeape', 'mewtwo', 'kangaskhan']",0.0632911392405063,275.0,77.0,40.0,39.0,38.0,42.0,39.0,2,31.6,2.26,19.7,4.62,11,2,84,1,gengar,51
945,"['exeggutor', 'nidoqueen', 'electabuzz', 'geodude', 'paras', 'zapdos']",0.0612557427258805,281.0,76.0,40.0,43.0,40.0,40.0,42.0,2,32.65,2.47,20.67,7.85,27,2,69,0,gengar,51
855,"['eevee', 'omastar', 'marowak', 'zapdos', 'grimer', 'dragonite']",0.060882800608828,286.0,77.0,44.0,43.0,41.0,40.0,41.0,2,32.85,8.56,21.03,6.47,22,19,56,1,gengar,43
962,"['cloyster', 'magmar', 'pinsir', 'articuno', 'magikarp', 'machop']",0.060882800608828,281.0,75.0,44.0,41.0,39.0,40.0,42.0,2,32.85,2.9,19.33,5.66,51,2,43,2,lapras,45
319,"['hitmonlee', 'charizard', 'exeggutor', 'kakuna', 'persian', 'articuno']",0.0602409638554216,279.0,76.0,42.0,40.0,41.0,41.0,39.0,2,33.2,4.38,16.78,6.4,41,2,55,0,gengar,35
475,"['beedrill', 'articuno', 'horsea', 'raticate', 'graveler', 'blastoise']",0.059612518628912,278.0,76.0,40.0,39.0,43.0,40.0,40.0,2,33.55,2.19,17.91,6.17,55,4,38,1,lapras,21
109,"['kabutops', 'omastar', 'arbok', 'porygon', 'mew', 'mewtwo']",0.0594353640416047,283.0,76.0,42.0,38.0,42.0,43.0,42.0,2,33.65,3.89,23.46,6.01,11,11,67,9,gengar,34
27,"['seadra', 'hypno', 'gyarados', 'charizard', 'marowak', 'graveler']",0.0518134715025906,286.0,76.0,43.0,41.0,41.0,43.0,42.0,2,38.6,2.12,20.04,7.41,54,4,39,1,lapras,49
447,"['kakuna', 'butterfree', 'mr-mime', 'golduck', 'zapdos', 'butterfree']",0.0512163892445582,287.0,78.0,41.0,43.0,42.0,43.0,40.0,2,39.05,0.64,17.37,7.92,57,18,23,0,draw,32
229,"['victreebel', 'mew', 'omastar', 'tauros', 'venomoth', 'lapras']",0.0508905852417302,284.0,77.0,42.0,43.0,40.0,40.0,42.0,2,39.3,4.24,28.09,7.91,15,3,80,0,gengar,47
630,"['blastoise', 'hitmonchan', 'articuno', 'machop', 'nidoran-m', 'pidgeot']",0.05,283.0,76.0,42.0,42.0,43.0,41.0,39.0,1,20.0,0.0,15.44,4.9,40,2,56,1,draw,28
745,"['mewtwo', 'rhydon', 'magneton', 'hitmonlee', 'oddish', 'persian']",0.0492610837438423,294.0,78.0,44.0,45.0,42.0,40.0,45.0,1,20.3,0.0,17.14,4.31,14,2,83,0,gengar,47
300,"['pidgey', 'muk', 'articuno', 'jolteon', 'seel', 'mew']",0.0463499420625724,277.0,76.0,41.0,40.0,40.0,40.0,40.0,2,43.15,1.77,25.0,9.38,58,4,35,1,lapras,35
118,"['voltorb', 'mewtwo', 'exeggutor', 'exeggcute', 'jolteon', 'abra']",0.0454545454545454,287.0,77.0,43.0,43.0,44.0,40.0,40.0,1,22.0,0.0,16.55,6.6,35,17,46,1,draw,57
801,"['jynx', 'rhydon', 'golbat', 'kabutops', 'slowbro', 'nidoran-m']",0.0453001132502831,281.0,78.0,41.0,40.0,43.0,40.0,39.0,2,44.15,13.79,20.05,7.45,44,7,44,3,lapras,44
562,"['chansey', 'mankey', 'mewtwo', 'hitmonchan', 'krabby', 'nidoran-f']",0.0440528634361233,280.0,75.0,41.0,42.0,40.0,43.0,39.0,1,22.7,0.0,16.63,8.84,61,10,28,0,lapras,44
522,"['jolteon', 'fearow', 'golem', 'chansey', 'magneton', 'zapdos']",0.0431499460625674,286.0,77.0,40.0,42.0,45.0,42.0,40.0,2,46.35,17.04,25.78,10.03,26,7,63,2,gengar,43
769,"['nidorina', 'zapdos', 'tauros', 'goldeen', 'slowpoke', 'cloyster']",0.0423728813559322,285.0,77.0,41.0,43.0,43.0,40.0,41.0,1,23.6,0.0,18.93,5.15,18,7,74,0,gengar,46
654,"['nidorino', 'primeape', 'hitmonlee', 'mewtwo', 'kadabra', 'moltres']",0.0421940928270042,287.0,77.0,39.0,44.0,44.0,41.0,42.0,1,23.7,0.0,11.72,4.12,76,2,21,0,lapras,72
176,"['jolteon', 'mewtwo', 'horsea', 'tauros', 'charmander', 'kadabra']",0.0418410041841004,273.0,75.0,40.0,42.0,39.0,38.0,39.0,1,23.9,0.0,13.38,5.37,65,14,20,0,lapras,36
557,"['ekans', 'poliwag', 'zapdos', 'charmeleon', 'rhyhorn', 'mankey']",0.0383141762452107,282.0,75.0,43.0,41.0,39.0,43.0,41.0,1,26.1,0.0,11.77,5.79,59,6,34,0,lapras,44
