name,level,move,type,power,accuracy,pp,category,effect,effect_prob,gen,stat_change,amount_changed
rattata,23,focus-energy,normal,0,_,30,status,Increases the user's chance to score a critical hit.,100,1,N/A,0
rattata,34,super-fang,normal,0,90,10,physical,Inflicts damage equal to half the target's HP.,100,1,N/A,0
spearow,1,peck,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
spearow,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
spearow,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
spearow,9,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
spearow,15,fury-attack,normal,15,85,20,physical,Hits 2-5 times in one turn.,100,1,N/A,0
spearow,22,mirror-move,flying,0,_,20,status,Uses the target's last used move.,100,1,N/A,0
spearow,29,drill-peck,flying,80,100,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
spearow,36,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
ekans,1,wrap,normal,15,85,20,physical,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
ekans,1,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
ekans,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
ekans,10,poison-sting,poison,15,100,35,physical,Has a 30% chance to poison the target.,30,1,N/A,0
ekans,17,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
ekans,24,glare,normal,0,75,30,status,Paralyzes the target.,100,1,N/A,0
ekans,31,screech,normal,0,85,40,status,Lowers the target's Defense by two stages.,100,1,defense,-2
ekans,38,acid,poison,40,100,30,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
sandshrew,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
sandshrew,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
sandshrew,10,sand-attack,normal,0,100,15,status,Lowers the target's accuracy by one stage.,100,1,accuracy,-1
sandshrew,17,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
sandshrew,24,poison-sting,poison,15,100,35,physical,Has a 30% chance to poison the target.,30,1,N/A,0
sandshrew,31,swift,normal,60,_,20,special,Never misses.,100,1,N/A,0
sandshrew,38,fury-swipes,normal,18,80,15,physical,Hits 2-5 times in one turn.,100,1,N/A,0
nidoran-f,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
nidoran-f,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
nidoran-f,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
nidoran-f,8,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
nidoran-f,14,poison-sting,poison,15,100,35,physical,Has a 30% chance to poison the target.,30,1,N/A,0
nidoran-f,21,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
nidoran-f,29,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
nidoran-f,36,fury-swipes,normal,18,80,15,physical,Hits 2-5 times in one turn.,100,1,N/A,0
nidoran-f,43,double-kick,fighting,30,100,30,physical,Hits twice in one turn.,100,1,N/A,0
nidoran-m,1,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
nidoran-m,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
nidoran-m,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
nidoran-m,8,horn-attack,normal,65,100,25,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
nidoran-m,14,poison-sting,poison,15,100,35,physical,Has a 30% chance to poison the target.,30,1,N/A,0
nidoran-m,21,focus-energy,normal,0,_,30,status,Increases the user's chance to score a critical hit.,100,1,N/A,0
nidoran-m,29,fury-attack,normal,15,85,20,physical,Hits 2-5 times in one turn.,100,1,N/A,0
nidoran-m,36,horn-drill,normal,0,30,5,physical,Causes a one-hit KO.,100,1,N/A,0
nidoran-m,43,double-kick,fighting,30,100,30,physical,Hits twice in one turn.,100,1,N/A,0
vulpix,1,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
vulpix,1,ember,fire,40,100,25,special,Has a 10% chance to burn the target.,10,1,N/A,0
vulpix,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
vulpix,16,quick-attack,normal,40,100,30,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
vulpix,21,roar,normal,0,100,20,status,Immediately ends wild battles.  Forces trainers to switch Pokémon.,100,1,N/A,0
vulpix,28,confuse-ray,ghost,0,100,10,status,Confuses the target.,100,1,N/A,0
vulpix,35,flamethrower,fire,95,100,15,special,Has a 10% chance to burn the target.,10,1,N/A,0
vulpix,42,fire-spin,fire,15,70,15,special,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
zubat,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
zubat,1,leech-life,bug,20,100,15,physical,Drains half the damage inflicted to heal the user.,100,1,N/A,0
zubat,10,supersonic,normal,0,55,20,status,Confuses the target.,100,1,N/A,0
zubat,15,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
zubat,21,confuse-ray,ghost,0,100,10,status,Confuses the target.,100,1,N/A,0
zubat,28,wing-attack,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
zubat,36,haze,ice,0,_,30,status,"Resets all Pokémon's stats, accuracy, and evasion.",100,1,N/A,0
oddish,1,absorb,grass,20,100,20,special,Drains half the damage inflicted to heal the user.,100,1,N/A,0
oddish,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
oddish,15,poison-powder,poison,0,75,35,status,Poisons the target.,100,1,N/A,0
oddish,17,stun-spore,grass,0,75,30,status,Paralyzes the target.,100,1,N/A,0
oddish,19,sleep-powder,grass,0,75,15,status,Puts the target to sleep.,100,1,N/A,0
oddish,24,acid,poison,40,100,30,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
oddish,33,petal-dance,grass,70,100,10,special,"Hits every turn for 2-3 turns, then confuses the user.",100,1,N/A,0
oddish,46,solar-beam,grass,120,100,10,special,Requires a turn to charge before attacking.,100,1,N/A,0
paras,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
paras,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
paras,13,stun-spore,grass,0,75,30,status,Paralyzes the target.,100,1,N/A,0
paras,20,leech-life,bug,20,100,15,physical,Drains half the damage inflicted to heal the user.,100,1,N/A,0
paras,27,spore,grass,0,100,15,status,Puts the target to sleep.,100,1,N/A,0
paras,34,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
paras,41,growth,normal,0,_,20,status,Raises the user's Attack and Special Attack by one stage.,100,1,attack,1
venonat,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
venonat,1,disable,normal,0,55,20,status,Disables the target's last used move for 1-8 turns.,100,1,N/A,0
venonat,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
venonat,24,poison-powder,poison,0,75,35,status,Poisons the target.,100,1,N/A,0
venonat,27,leech-life,bug,20,100,15,physical,Drains half the damage inflicted to heal the user.,100,1,N/A,0
venonat,30,stun-spore,grass,0,75,30,status,Paralyzes the target.,100,1,N/A,0
venonat,35,psybeam,psychic,65,100,20,special,Has a 10% chance to confuse the target.,10,1,N/A,0
venonat,38,sleep-powder,grass,0,75,15,status,Puts the target to sleep.,100,1,N/A,0
venonat,43,psychic,psychic,90,100,10,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
diglett,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
diglett,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
diglett,15,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
diglett,19,dig,ground,100,100,10,physical,"User digs underground, dodging all attacks, and hits next turn.",100,1,N/A,0
diglett,24,sand-attack,normal,0,100,15,status,Lowers the target's accuracy by one stage.,100,1,accuracy,-1
diglett,31,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
diglett,40,earthquake,ground,100,100,10,physical,Inflicts regular damage and can hit Dig users.,100,1,N/A,0
meowth,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
meowth,1,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
meowth,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
meowth,12,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
meowth,17,pay-day,normal,40,100,20,physical,Scatters money on the ground worth five times the user's level.,100,1,N/A,0
meowth,24,screech,normal,0,85,40,status,Lowers the target's Defense by two stages.,100,1,defense,-2
meowth,33,fury-swipes,normal,18,80,15,physical,Hits 2-5 times in one turn.,100,1,N/A,0
meowth,44,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
psyduck,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
psyduck,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
psyduck,28,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
psyduck,31,disable,normal,0,55,20,status,Disables the target's last used move for 1-8 turns.,100,1,N/A,0
psyduck,36,confusion,psychic,50,100,25,special,Has a 10% chance to confuse the target.,10,1,N/A,0
psyduck,43,fury-swipes,normal,18,80,15,physical,Hits 2-5 times in one turn.,100,1,N/A,0
psyduck,52,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
mankey,1,scratch,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
mankey,1,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
mankey,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
mankey,15,karate-chop,normal,50,100,25,physical,Has an increased chance for a critical hit.,100,1,N/A,0
mankey,21,fury-swipes,normal,18,80,15,physical,Hits 2-5 times in one turn.,100,1,N/A,0
mankey,27,focus-energy,normal,0,_,30,status,Increases the user's chance to score a critical hit.,100,1,N/A,0
mankey,33,seismic-toss,fighting,0,100,20,physical,Inflicts damage equal to the user's level.,100,1,N/A,0
mankey,39,thrash,normal,90,100,20,physical,"Hits every turn for 2-3 turns, then confuses the user.",100,1,N/A,0
growlithe,1,roar,normal,0,100,20,status,Immediately ends wild battles.  Forces trainers to switch Pokémon.,100,1,N/A,0
growlithe,1,bite,normal,60,100,25,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
growlithe,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
growlithe,18,ember,fire,40,100,25,special,Has a 10% chance to burn the target.,10,1,N/A,0
growlithe,23,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
growlithe,30,take-down,normal,90,85,20,physical,User receives 1/4 the damage it inflicts in recoil.,100,1,N/A,0
growlithe,39,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
growlithe,50,flamethrower,fire,95,100,15,special,Has a 10% chance to burn the target.,10,1,N/A,0
poliwag,1,bubble,water,20,100,30,special,Has a 10% chance to lower the target's Speed by one stage.,10,1,speed,-1
poliwag,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
poliwag,16,hypnosis,psychic,0,60,20,status,Puts the target to sleep.,100,1,N/A,0
poliwag,19,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
poliwag,25,double-slap,normal,15,85,10,physical,Hits 2-5 times in one turn.,100,1,N/A,0
poliwag,31,body-slam,normal,85,100,15,physical,Has a 30% chance to paralyze the target.,30,1,N/A,0
poliwag,38,amnesia,psychic,0,_,20,status,Raises the user's Special Defense by two stages.,100,1,sp_defense,2
poliwag,45,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
abra,1,teleport,psychic,0,_,20,status,Immediately ends wild battles.  No effect otherwise.,100,1,N/A,0
abra,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
machop,1,karate-chop,normal,50,100,25,physical,Has an increased chance for a critical hit.,100,1,N/A,0
machop,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
machop,20,low-kick,fighting,50,90,20,physical,"Inflicts more damage to heavier targets, with a maximum of 120 power.",100,1,N/A,0
machop,25,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
machop,32,focus-energy,normal,0,_,30,status,Increases the user's chance to score a critical hit.,100,1,N/A,0
machop,39,seismic-toss,fighting,0,100,20,physical,Inflicts damage equal to the user's level.,100,1,N/A,0
machop,46,submission,fighting,80,80,25,physical,User receives 1/4 the damage it inflicts in recoil.,100,1,N/A,0
bellsprout,1,vine-whip,grass,45,100,10,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
bellsprout,1,growth,normal,0,_,20,status,Raises the user's Attack and Special Attack by one stage.,100,1,attack,1
bellsprout,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
bellsprout,13,wrap,normal,15,85,20,physical,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
bellsprout,15,poison-powder,poison,0,75,35,status,Poisons the target.,100,1,N/A,0
bellsprout,18,sleep-powder,grass,0,75,15,status,Puts the target to sleep.,100,1,N/A,0
bellsprout,21,stun-spore,grass,0,75,30,status,Paralyzes the target.,100,1,N/A,0
bellsprout,26,acid,poison,40,100,30,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
bellsprout,33,razor-leaf,grass,55,95,25,physical,Has an increased chance for a critical hit.,100,1,N/A,0
bellsprout,42,slam,normal,80,75,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
tentacool,1,acid,poison,40,100,30,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
tentacool,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
tentacool,7,supersonic,normal,0,55,20,status,Confuses the target.,100,1,N/A,0
tentacool,13,wrap,normal,15,85,20,physical,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
tentacool,18,poison-sting,poison,15,100,35,physical,Has a 30% chance to poison the target.,30,1,N/A,0
tentacool,22,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
tentacool,27,constrict,normal,10,100,35,physical,Has a 10% chance to lower the target's Speed by one stage.,10,1,speed,-1
tentacool,33,barrier,psychic,0,_,30,status,Raises the user's Defense by two stages.,100,1,defense,2
tentacool,40,screech,normal,0,85,40,status,Lowers the target's Defense by two stages.,100,1,defense,-2
tentacool,48,hydro-pump,water,120,80,5,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
geodude,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
geodude,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
geodude,11,defense-curl,normal,0,_,40,status,Raises user's Defense by one stage.,100,1,defense,1
geodude,16,rock-throw,rock,50,65,15,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
geodude,21,self-destruct,normal,130,100,5,physical,User faints.,100,1,N/A,0
geodude,26,harden,normal,0,_,30,status,Raises the user's Defense by one stage.,100,1,defense,1
geodude,31,earthquake,ground,100,100,10,physical,Inflicts regular damage and can hit Dig users.,100,1,N/A,0
geodude,36,explosion,normal,170,100,5,physical,User faints.,100,1,N/A,0
ponyta,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
ponyta,1,ember,fire,40,100,25,special,Has a 10% chance to burn the target.,10,1,N/A,0
ponyta,30,tail-whip,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
ponyta,32,stomp,normal,65,100,20,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
ponyta,35,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
ponyta,39,fire-spin,fire,15,70,15,special,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
ponyta,43,take-down,normal,90,85,20,physical,User receives 1/4 the damage it inflicts in recoil.,100,1,N/A,0
ponyta,48,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
slowpoke,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
slowpoke,1,confusion,psychic,50,100,25,special,Has a 10% chance to confuse the target.,10,1,N/A,0
slowpoke,18,disable,normal,0,55,20,status,Disables the target's last used move for 1-8 turns.,100,1,N/A,0
slowpoke,22,headbutt,normal,70,100,15,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
slowpoke,27,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
slowpoke,33,water-gun,water,40,100,25,special,Inflicts regular damage with no additional effect.,100,1,N/A,0
slowpoke,40,amnesia,psychic,0,_,20,status,Raises the user's Special Defense by two stages.,100,1,sp_defense,2
slowpoke,48,psychic,psychic,90,100,10,special,Has a 10% chance to lower the target's Special Defense by one stage.,10,1,sp_defense,-1
magnemite,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
magnemite,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
magnemite,21,sonic-boom,normal,0,90,20,special,Inflicts 20 points of damage.,100,1,N/A,0
magnemite,25,thunder-shock,electric,40,100,30,special,Has a 10% chance to paralyze the target.,10,1,N/A,0
magnemite,29,supersonic,normal,0,55,20,status,Confuses the target.,100,1,N/A,0
magnemite,35,thunder-wave,electric,0,100,20,status,Paralyzes the target.,100,1,N/A,0
magnemite,41,swift,normal,60,_,20,special,Never misses.,100,1,N/A,0
magnemite,47,screech,normal,0,85,40,status,Lowers the target's Defense by two stages.,100,1,defense,-2
farfetchd,1,sand-attack,normal,0,100,15,status,Lowers the target's accuracy by one stage.,100,1,accuracy,-1
farfetchd,1,peck,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
farfetchd,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
farfetchd,7,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
farfetchd,15,fury-attack,normal,15,85,20,physical,Hits 2-5 times in one turn.,100,1,N/A,0
farfetchd,23,swords-dance,normal,0,_,30,status,Raises the user's Attack by two stages.,100,1,attack,2
farfetchd,31,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
farfetchd,39,slash,normal,70,100,20,physical,Has an increased chance for a critical hit.,100,1,N/A,0
doduo,1,peck,flying,35,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
doduo,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
doduo,20,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
doduo,24,fury-attack,normal,15,85,20,physical,Hits 2-5 times in one turn.,100,1,N/A,0
doduo,30,drill-peck,flying,80,100,20,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
doduo,36,rage,normal,20,100,20,physical,"If the user is hit after using this move, its Attack rises by one stage.",100,1,N/A,0
doduo,40,tri-attack,normal,80,100,10,special,"Has a 20% chance to burn, freeze, or paralyze the target.",20,1,N/A,0
doduo,44,agility,psychic,0,_,30,status,Raises the user's Speed by two stages.,100,1,speed,2
seel,1,headbutt,normal,70,100,15,physical,Has a 30% chance to make the target flinch.,30,1,N/A,0
seel,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
seel,30,growl,normal,0,100,40,status,Lowers the target's Attack by one stage.,100,1,attack,-1
seel,35,aurora-beam,ice,65,100,20,special,Has a 10% chance to lower the target's Attack by one stage.,10,1,attack,-1
seel,40,rest,psychic,0,_,5,status,"User sleeps for two turns, completely healing itself.",100,1,N/A,0
seel,45,take-down,normal,90,85,20,physical,User receives 1/4 the damage it inflicts in recoil.,100,1,N/A,0
seel,50,ice-beam,ice,95,100,10,special,Has a 10% chance to freeze the target.,10,1,N/A,0
grimer,1,pound,normal,40,100,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
grimer,1,disable,normal,0,55,20,status,Disables the target's last used move for 1-8 turns.,100,1,N/A,0
grimer,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
grimer,30,poison-gas,poison,0,55,40,status,Poisons the target.,100,1,N/A,0
grimer,33,minimize,normal,0,_,20,status,Raises the user's evasion by two stages.,100,1,evasion,2
grimer,37,sludge,poison,65,100,20,special,Has a 30% chance to poison the target.,30,1,N/A,0
grimer,42,harden,normal,0,_,30,status,Raises the user's Defense by one stage.,100,1,defense,1
grimer,48,screech,normal,0,85,40,status,Lowers the target's Defense by two stages.,100,1,defense,-2
grimer,55,acid-armor,poison,0,_,40,status,Raises the user's Defense by two stages.,100,1,defense,2
shellder,1,tackle,normal,35,95,35,physical,Inflicts regular damage with no additional effect.,100,1,N/A,0
shellder,1,withdraw,water,0,_,40,status,Raises the user's Defense by one stage.,100,1,defense,1
shellder,1,struggle,normal,50,_,1,physical,User takes 1/4 its max HP in recoil.,10,1,N/A,0
shellder,18,supersonic,normal,0,55,20,status,Confuses the target.,100,1,N/A,0
shellder,23,clamp,water,35,75,10,physical,Prevents the target from fleeing and inflicts damage for 2-5 turns.,100,1,N/A,0
shellder,30,aurora-beam,ice,65,100,20,special,Has a 10% chance to lower the target's Attack by one stage.,10,1,attack,-1
shellder,39,leer,normal,0,100,30,status,Lowers the target's Defense by one stage.,100,1,defense,-1
shellder,50,ice-beam,ice,95,100,10,special,Has a 10% chance to freeze the target.,10,1,N/A,0
gastly,1,night-shade,ghost,0,100,15,special,Inflicts damage equal to the user's level.,100,1,N/A,0
gastly,1,confuse-ray,ghost,0,100,10,status,Confuses the target.,100,1,N/A,0
gastly,1,lick,ghost,20,100,30,physical,Has a 30% chance to paralyze the target.,30,1,N/A,0
